lifetime,facility
203.2983057,A
199.9072486,A
200.5710183,A
204.0056196,A
202.191657,A
200.1686057,A
203.9879169,A
198.7756402,A
197.5452287,A
201.076837,A
200.1761482,A
199.7916902,A
198.8455512,A
197.3770296,A
203.588992,A
195.0164014,A
203.4956362,A
196.7910141,A
202.7266506,A
196.0474777,A
201.9662899,A
198.0188845,A
202.9747423,A
197.9503294,A
203.3639636,A
201.1656539,A
199.5476996,A
198.60207,A
195.9184531,A
199.9112427,A
199.2776983,A
205.7656985,A
200.2914073,A
200.2766581,A
200.5656194,A
198.0866737,A
199.8924509,A
200.3365885,A
203.6328224,A
204.3212143,A
206.6253302,A
194.0959227,A
201.675361,A
199.350463,A
199.7966658,A
200.798983,A
203.8574704,A
203.303185,A
198.213457,A
200.4654749,A
182.3253706,B
178.8281511,B
183.57093,B
177.3348126,B
179.1068665,B
181.1392122,B
174.2205648,B
178.2619633,B
179.0765946,B
178.8889182,B
179.9597293,B
179.6992356,B
178.7437465,B
182.6464417,B
176.9572989,B
179.1251443,B
181.9411552,B
180.0564453,B
179.8284356,B
180.7784288,B
180.4733747,B
179.7111195,B
181.4444594,B
180.7398137,B
179.5158674,B
177.0558734,B
178.8076809,B
177.7065997,B
175.0507271,B
178.7729828,B
179.567377,B
183.1802915,B
183.1122866,B
182.2169018,B
177.8053163,B
176.2787886,B
178.1728423,B
182.4911378,B
180.1757094,B
180.8469638,B
178.363034,B
176.9148643,B
181.1117643,B
179.2619421,B
177.9053234,B
180.0363598,B
181.763755,B
181.763723,B
182.0524864,B
179.2373816,B
