diameter,height,stemweight,aboveweight
40,18.5,647.36,1047.97
32,18.8,396.51,559.89
22,13.2,131.78,221.06
45,20.5,810.36,1279.54
37,17.5,510.37,682.3
37,19.8,456.04,645.61
45,20.5,920.18,1560.74
25,17.3,220.22,277.4
47,20.7,861.8,1176.56
63,25.1,2669.2,3898.49
44,18,792.44,1474.96
48,19.5,788.97,1312.68
33,14.5,267.61,398.42
28,15.5,209.24,307.87
37,18.4,874.51,1105.6
61,20.5,1519.56,2777.5
75,28.3,2640.88,3784.33
56,24.5,1564.07,2223.63
68,28.4,2155.94,3127.57
72,25,2298.71,3374.05
57,25.7,1673.89,2487.96
30,27,479.16,552.86
36,27.2,723.66,879.71
43,26.2,985.49,1128.9
53,28.7,1553.09,1918.76
36,28,734.64,876.59
33,26.3,616.15,675.31
52,27,1376.22,1726.41
41,29.9,1210.33,1400.83
41,30.6,1045.6,1174.75
40,30.9,1018.44,1168.12
20,22.6,175.71,211.95
18,23.3,167.04,194.76
10,16.7,34.68,37.28
13,15.1,49.71,62.51
28,25.8,380.32,483.69
14,23.2,98.26,115.61
23,27.9,299.98,339.04
14,22.1,105.77,124.95
13,19.9,63.58,81.05
10,15.2,28.32,40.37
33,23,458.35,572.05
