fecundity,line
12.8,Resistant
21.6,Resistant
14.8,Resistant
23.1,Resistant
34.6,Resistant
19.7,Resistant
22.6,Resistant
29.6,Resistant
16.4,Resistant
20.3,Resistant
29.3,Resistant
14.9,Resistant
27.3,Resistant
22.4,Resistant
27.5,Resistant
20.3,Resistant
38.7,Resistant
26.4,Resistant
23.7,Resistant
26.1,Resistant
29.5,Resistant
38.6,Resistant
44.4,Resistant
23.2,Resistant
23.6,Resistant
38.4,Susceptible
32.9,Susceptible
48.5,Susceptible
20.9,Susceptible
11.6,Susceptible
22.3,Susceptible
30.2,Susceptible
33.4,Susceptible
26.7,Susceptible
39,Susceptible
12.8,Susceptible
14.6,Susceptible
12.2,Susceptible
23.1,Susceptible
29.4,Susceptible
16,Susceptible
20.1,Susceptible
23.3,Susceptible
22.9,Susceptible
22.5,Susceptible
15.1,Susceptible
31,Susceptible
16.9,Susceptible
16.1,Susceptible
10.8,Susceptible
35.4,Nonselected
27.4,Nonselected
19.3,Nonselected
41.8,Nonselected
20.3,Nonselected
37.6,Nonselected
36.9,Nonselected
37.3,Nonselected
28.2,Nonselected
23.4,Nonselected
33.7,Nonselected
29.2,Nonselected
41.7,Nonselected
22.6,Nonselected
40.4,Nonselected
34.4,Nonselected
30.4,Nonselected
14.9,Nonselected
51.8,Nonselected
33.8,Nonselected
37.9,Nonselected
29.5,Nonselected
42.4,Nonselected
36.6,Nonselected
47.4,Nonselected
