plot,carbon,type
1,1501.82,monospecific
2,6989.43,monospecific
3,2424.02,multispecific
4,4150.29,monospecific
5,8693.35,monospecific
6,2643.77,monospecific
7,27363.36,monospecific
8,13148.37,monospecific
9,6149.39,multispecific
10,23587.21,monospecific
11,7248.37,monospecific
12,4788.22,monospecific
14,6009.51,monospecific
15,5349.65,monospecific
16,5741.32,monospecific
17,7065.81,monospecific
19,7261.37,monospecific
20,2358.42,monospecific
21,10357.88,monospecific
22,491.34,multispecific
23,2499.05,multispecific
24,3022.9,monospecific
26,1380.79,monospecific
27,4234.86,multispecific
28,4482.03,monospecific
29,6363.71,monospecific
30,3329.91,monospecific
32,8740.47,multispecific
33,3664.95,multispecific
34,4515.97,monospecific
35,8497.71,monospecific
36,4569.89,multispecific
37,8069.63,monospecific
38,7366.79,monospecific
39,1525.41,multispecific
40,3363.02,monospecific
41,2420.57,multispecific
42,3576.74,monospecific
43,3708.05,monospecific
44,5819.12,monospecific
45,5479.38,monospecific
