height,fertilization,pot
17.375,self,one
20.375,self,two
20,self,three
20,self,four
18.375,self,five
18.625,self,six
18.625,self,seven
15.25,self,eight
16.5,self,nine
18,self,ten
16.25,self,eleven
18,self,twelve
12.75,self,thirteen
15.5,self,fourteen
18,self,fifteen
23.5,cross,one
12,cross,two
21,cross,three
22,cross,four
19.125,cross,five
21.5,cross,six
22.125,cross,seven
20.375,cross,eight
18.25,cross,nine
21.625,cross,ten
23.25,cross,eleven
21,cross,twelve
22.125,cross,thirteen
23,cross,fourteen
12,cross,fifteen
