Rank,Team,2011,Last 3,Last 1,Home,Away,2010
43,Miami (FL),1.4,1,0,1,2,1.6
5,Stanford,0.7,0.3,0,0.2,1,1
6,Ball State,0.7,0,0,0.5,0.8,1.6
12,Arkansas St,0.9,0.3,0,0.7,1,1.6
1,Louisville,0.5,0.3,0,0.8,0.2,0.9
3,Toledo,0.5,0,0,0.8,0.2,1.5
63,UAB,1.6,1.3,0,0.8,2.2,1.2
14,Mississippi,0.9,0.7,0,0.8,1,1.4
59,Texas,1.5,0.7,0,0.8,2.7,1.7
44,Navy,1.4,0.7,0,1,1.8,1.5
8,Marshall,0.8,0.3,0,0.5,1,1.6
37,E Michigan,1.3,1,0,1,1.5,1.6
38,Colorado,1.3,1.3,0,1,1.5,1.6
33,Kent State,1.2,0.7,0,1.2,1.2,1.5
98,Rice,2,2.3,0,1.2,2.6,1.2
7,Iowa,0.8,0.3,0,0.4,1.3,0.8
15,Indiana,1,0,0,1.5,0.6,1.1
4,LSU,0.6,0,0,0.3,0.8,1.4
48,TX El Paso,1.4,0.7,0,1.7,1.2,1.2
32,Texas Tech,1.2,1.3,0,1.8,0.8,2
78,Vanderbilt,1.8,0.7,0,2,1.3,2.3
35,UNLV,1.3,0.7,1,0.7,1.8,1
62,Central FL,1.5,0.3,1,1,2,1.4
53,Central Mich,1.4,1,1,1,1.6,2
20,Houston,1,1,1,1,1,1
10,Northwestrn,0.9,0.7,1,0.5,1,2.1
90,Tulsa,1.9,1.3,1,2.8,1.2,1
77,S Methodist,1.8,1.3,1,1,2.2,1.7
21,Oklahoma,1.1,1.3,1,1,1.2,1.4
52,Miami (OH),1.4,1.3,1,1.2,1.8,1.1
68,Kansas St,1.6,1.7,1,1.2,2,1.2
17,Washington,1,0.7,1,0.8,1.3,1.3
19,Syracuse,1,0.7,1,1,1,2
74,GA Tech,1.8,1.7,1,1,2.5,2.5
111,New Mexico,2.4,2.3,1,2.5,2.2,2.6
82,Florida Intl,1.8,2,1,2.4,1,1.2
54,Memphis,1.5,1,1,1.3,1.6,1.7
61,Wyoming,1.5,2.3,1,1.3,1.7,1.3
51,Texas A&M,1.4,1.7,1,1.4,1.5,2.2
26,Duke,1.1,0.7,1,1.4,0.7,1.7
13,Wake Forest,0.9,1.3,1,0.5,1.2,1.1
29,Arizona St,1.2,1,1,1.5,1,1.8
56,Minnesota,1.5,1.7,1,1.5,1.5,1
110,Hawaii,2.4,2.3,1,1,3.2,1.5
65,San Diego St,1.6,1.3,1,1.5,1.7,0.9
58,Buffalo,1.5,2,1,2.3,1,1.5
42,LA Monroe,1.4,0.7,1,1,1.5,1.9
11,N Illinois,0.9,0.7,1,1.7,0.4,0.8
67,S Mississippi,1.6,0.7,1,1.7,1.6,1
22,Alabama,1.1,0.7,1,1.7,0,1.7
40,North Texas,1.3,0.7,1,1.8,1,1.8
84,LA Lafayette,1.8,1,1,1.8,1.8,1.7
28,Arizona,1.2,1,1,1,1.5,1.2
86,Cincinnati,1.9,2,1,2.3,1.5,1.7
55,Michigan St,1.5,1,1,1.8,1,1.2
81,Kentucky,1.8,2,1,1.8,1.7,1.1
41,Georgia,1.4,0.3,1,2,1,1.2
100,San Jose St,2.1,2,1,2.2,2,1.5
101,E Carolina,2.1,0.7,1,2,2.2,1.3
69,Wash State,1.6,1.3,1,2,1.5,1.7
96,Notre Dame,2,1.3,1,2,2,1.4
85,USC,1.8,1.7,1,2,1.5,1.2
57,BYU,1.5,1.3,1,2,1,1.5
87,Rutgers,1.9,1,1,2.2,1.3,1.3
79,Arkansas,1.8,1.7,1,2.2,1.2,1.5
27,W Michigan,1.1,0.7,1,1.3,1,1.7
109,Illinois,2.4,2,2,2.6,2,1
49,Florida St,1.4,1.3,2,0.5,2.2,1.8
36,NC State,1.3,1,2,1.7,1,1.8
31,Temple,1.2,0.7,2,1,1.4,1.5
46,Boise State,1.4,2,2,1.7,1.2,1.7
89,Virginia,1.9,2.3,2,1.5,2.2,1.3
99,S Florida,2,3.3,2,1.7,2.2,1.2
72,Tulane,1.7,1.7,2,1.8,1.6,2.4
71,VA Tech,1.6,0.7,2,1.8,1.5,1.2
2,Wisconsin,0.5,1,2,0.6,0.3,0.8
18,Oklahoma St,1,1.3,2,1.2,0.8,1.5
95,Utah,2,1.7,2,2.7,1.6,1.5
115,Nebraska,2.5,2.3,2,2.4,2.7,2.8
9,Purdue,0.9,1,2,1.2,0.5,1.5
97,Florida,2,3,2,1.4,2.8,2.3
103,Pittsburgh,2.1,1.7,2,1.8,3,1.7
80,Tennessee,1.8,1.3,2,1.8,1.5,1.2
107,Kansas,2.2,2.3,2,2,2.5,0.8
34,W Kentucky,1.2,1,2,2,0.5,0.9
50,Akron,1.4,1,2,1.2,1.5,1.5
106,Fresno St,2.2,2.3,2,3,1.5,1.7
60,Idaho,1.5,2,2,1.5,1.5,1.7
104,Nevada,2.1,2,2,2,2.2,1.7
23,Boston Col,1.1,2.3,2,0.8,1.5,1
75,Troy,1.8,2,2,2,1.6,1.9
112,Ohio,2.4,2,2,2,2.8,1.6
45,Oregon,1.4,1,2,1,1.8,2
64,Utah State,1.6,1.3,2,2.3,1,1.2
39,Michigan,1.3,1.7,2,1.3,1.3,2
108,N Carolina,2.3,2.7,2,2.6,2,1.3
83,Ohio State,1.8,2.3,2,1.5,2.3,0.5
73,Air Force,1.7,2,2,1.7,1.8,1.6
70,Middle Tenn,1.6,1.3,2,2.2,1,1.3
76,Miss State,1.8,2,3,1.3,2,1.2
47,LA Tech,1.4,1.7,3,1.3,1.4,2
88,Bowling Grn,1.9,1,3,1.3,2.2,1.2
24,Maryland,1.1,2,3,1.3,0.5,1.1
118,Baylor,2.9,3,3,2.5,3.3,1.9
105,Oregon St,2.2,2,3,2.5,2,0.8
16,Auburn,1,1.7,3,1.4,0.5,1.4
114,Fla Atlantic,2.5,3.7,3,3.7,1.8,1.9
117,W Virginia,2.5,2.3,3,2.6,2.3,2.1
30,Clemson,1.2,2,3,1.2,1.3,1.8
25,Missouri,1.1,2,3,1,1.2,1.5
113,S Carolina,2.4,1.7,3,2.8,2.2,1.2
66,Colorado St,1.6,1.7,3,1,1.8,2
102,Connecticut,2.1,2,4,2.8,1.5,1.8
93,UCLA,2,3.7,4,1.8,2.2,2.2
91,California,2,1.7,4,2.5,1.5,1.5
92,TX Christian,2,1.7,4,1.5,2.5,1.3
116,Iowa State,2.5,3.3,4,3.2,1.8,1.5
119,Penn State,2.9,3.7,6,3,2.7,1.2
94,N Mex State,2,3.3,6,1.5,2.4,2
120,Army,3.8,4.7,6,4.3,3.4,1.7
