sat,gpa
1410,3.67
1100,2.43
1130,1.95
980,2.05
1070,2.34
1030,2.04
1500,3.84
990,1.98
1220,2.68
1220,2.33
1030,1.99
830,0.79
1380,3.12
1020,1.56
910,1.35
720,1.06
1090,2.94
1020,2.22
1360,3.37
960,2.03
980,2.22
1010,2.25
1130,2.6
990,2.57
1230,2.67
990,1.67
1190,2.39
1060,2.55
1070,2.08
930,1.58
1110,2.54
1200,2.99
1070,2.14
1390,3.04
930,1.3
1100,2.49
1210,3
1020,1.65
1050,2.4
1290,3.74
1230,2.64
1410,2.67
1210,2.41
1100,1.32
1120,2.69
910,2.12
1120,2.19
800,0.91
1000,2.2
1160,2.11
1260,2.79
950,2.08
1230,2.63
1330,3.13
1260,2.6
1090,2.55
1270,2.76
1050,2.02
1170,2.43
1170,2.37
1200,2.07
900,1.54
1050,2.9
1140,2.01
990,1.93
1070,1.46
1080,2.05
980,1.92
1080,2.75
1220,2.7
1080,1.78
1040,1.86
1250,2.41
1220,2.95
860,1.37
1120,2.35
1400,3.54
1260,1.67
1120,2.46
1230,3.05
1310,3.56
1270,2.9
870,1.18
1130,2.12
1080,1.94
1080,1.89
1240,2.16
1270,2.3
1020,1.86
1340,3.1
1140,2.12
870,1.01
1130,2.02
1280,2.17
1060,2.72
1110,2.46
1160,1.84
1170,2.51
1190,2.77
1070,2.19
1340,3.26
1190,2.59
1010,1.87
1260,2.51
940,1.78
1240,2.8
1200,2.38
1080,1.85
880,1.16
1140,1.42
1160,2.35
1190,2.32
1070,2.24
1200,1.54
1280,2.39
1280,3.83
1140,3.12
1100,2.41
1190,2.72
860,2.03
980,2
870,1.47
1290,2.98
1350,3.35
1210,2.75
1280,2.24
1060,2.53
950,1.52
1160,2.52
1150,2.76
1250,2.71
1120,2.1
1260,2.39
1320,2.83
910,1.44
910,2.08
1260,3.16
1250,2.56
1140,2.5
1060,1.54
1350,2.83
1200,2.56
1210,3.16
1040,1.61
1110,2.64
1230,2.46
1220,2.88
1390,2.54
1240,2.61
1030,1.76
1270,2.05
900,1.48
1290,2.54
790,1.33
850,1.43
1210,2.77
1140,2.3
1170,2.93
1260,3.8
1210,2.42
1180,2.18
1220,2.03
1200,2.61
1050,2.31
1270,2.3
1320,2.09
1290,1.75
1200,2.87
1090,2.3
1440,2.88
1300,2.52
1170,3.04
1150,2.28
1040,1.88
1260,2.88
1150,2.11
1150,2.35
1090,1.97
1160,1.89
980,1.91
1060,1.39
1240,2.56
1170,2.31
1550,3.54
1040,2.3
1270,2.14
1190,2.15
1010,1.39
1080,2.98
1370,3.64
1270,2.36
870,0.94
1110,2.27
1070,1.91
1260,3.3
1220,2.4
1100,1.71
890,1.41
920,2.62
1050,2.38
