age,ht,wt,abs,triceps,subscap,hwfat,tanfat,skfat
18,65.75,133.6,8,6,10.5,10.71,11.9,9.8
15,65.5,129,10,8,9,8.53,10,10.56
17,64,120.8,6,6,8,6.78,8.3,8.43
17,72,145,11,10,10,9.32,8.2,11.77
17,69.5,299.2,54,42,37,41.89,41.6,41.09
14,66,190.6,40,25,26,34.03,29.9,29.45
14,63,108.8,6,8,7,7.47,12.4,8.73
17,67.25,132.6,11,7,8,6.08,11.1,10.25
15,69.75,148.4,9,6,8,7.59,10.1,9.34
14,70.5,175.4,19,13,11.5,13.08,15.5,15.54
14,64.5,104.8,8,8,6.5,5.55,8.7,9.19
17,67,137.2,15,10,13,9.51,12.5,13.89
14,62.75,93.4,7,10,7,12.25,8,9.65
15,68.5,192.6,30,16,19,19.72,29.7,21.92
15,67.75,193.8,32,23,20,19.31,24.8,24.84
17,71.5,181.6,9,10,10,8.27,13.9,11.16
16,63,110.4,6,12,9.5,11.6,10,10.71
14,65,120.2,9,6.5,7,13.9,10,9.19
14,66.5,126.6,8,8,8,4.52,11.2,9.65
17,72,174.2,10,11,10,10.19,12.4,11.77
16,68,136.8,13,14,9.5,11.73,18.4,13.43
14,61,100.2,7,7.5,7,15.65,16.4,8.88
17,69.25,283.6,50,25,31,33.87,32.3,33.69
15,68.25,133.6,11,10.5,9,9.49,12.3,11.62
15,68,130,12,11,11,11.65,13.8,12.68
15,63.375,123.2,10,10,8,7.97,15.1,10.86
15,59.75,121.4,27,30,22,31.51,25.7,26
15,56,115,10,9,9,7.58,14.2,10.86
14,61,108,7,7,8,5.85,11.8,9.04
15,70,186.4,30,23,21,26.4,25.3,24.55
15,68.75,201.4,37,27,31,31.71,29.8,30.59
16,70.75,232.4,51,23,34,34.71,44.9,34.24
14,63,101.8,6,7,6,7.15,8.7,8.12
16,69,152.8,18,10,12,10.3,14.4,14.49
13,62,122.6,10,8,7,18.96,15.3,9.95
15,63.25,152.6,21,13,9,17.83,18.2,15.39
16,71,241.8,43,30,32,28.91,27.8,33.41
14,67.25,124.2,10,10,8,13.87,12.1,10.86
16,69,209.8,41,35,36,33.53,30.1,35.36
15,62.75,138.6,23,19,20,17.87,18.9,21.04
16,68.5,158.8,13,12,12,13.11,18.2,13.58
17,63.5,124.6,9,10,7,3.58,12.7,10.25
14,67,128.6,9,11,9,7.69,12.3,11.16
14,64.75,132.6,10.5,10.5,10,10.29,14.6,11.77
14,60.5,107.6,24,16,16,23.96,20,19.27
14,61.5,115,9.5,10,6,13.29,12.6,10.1
13,72,245.8,41,34,40,33.11,29.8,36.19
15,64.75,140,19,10,9,13.36,12.9,13.89
15,58.75,102.4,13,14,11,9.66,11.4,13.89
15,68.5,224,41,30,34,27.01,33.2,33.41
16,68,141.4,9,7,11.5,11.81,13.3,10.71
16,69.5,142.2,6,7,7,9.91,10.8,8.43
18,70,171.8,11,8,10,7.35,14.7,11.16
17,73,169.6,7,11,9,7.08,13.6,10.56
18,69,146.4,9,10,8,10.4,10.8,10.56
16,67,132,12,6,8,6.4,14.4,10.25
17,64,133.4,14,14,8,13.22,12.5,13.28
18,67,149.8,14,10,10,10.44,16,12.68
16,67,154.4,12,12,8,12.1,14.3,12.07
17,70,224.4,44,18,16,22.39,28.4,25.71
16,67,115.6,7,6,6,10.16,6.4,8.12
17,68,155.4,8,7,8,11.79,15.5,9.34
17,68,190.8,30,14,14,14.72,27.9,19.86
17,68,162.2,10,8,11,7.17,15.3,11.16
16,71,142.2,15,11,10,11.4,16.5,13.28
18,68,140.4,7,7,6,10.82,14.2,8.43
17,71,166,12,8,7,11.27,13.1,10.56
18,67,161.4,7,6,7,9.81,12.5,8.43
15,67,136.6,8,6,7,11.05,10.1,8.73
17,69,161,13,10,7,11.68,10.9,11.47
17,69,174.2,10,7,8,6.33,13.8,9.95
18,70,169.8,10,9,10,11.22,14.1,11.16
17,65,143.6,12,10,7,10.26,10.8,11.16
16,69,140.2,7,6,6,6.86,12.7,8.12
16,69,150.6,10,7,9,9.44,12.4,10.25
16,62,120,9,10,7,9.55,15.6,10.25
15,68,153.8,13,7,11,10.07,16.7,11.77
15,66,258.6,45,37,43,33.75,34.5,38.93
