countyName,pop2010,medage,divorced,pctrural,edu_baorup,medinc,col_enrol,age18-24,age25-59,age60up,students,white,black,MaleBachelor,MaleMaster,MaleProfessional,MaleDoctorate,FemaleBachelor,FemaleMaster,FemaleProfessional,FemaleDoctorate,Owneroccupied,Renteroccupied,popden,pctfor,turnout,obama08,mccain08,evanrate,churches,colleges
alamance,151533,38.74,7430,28.56,20844,44167,10315,16039,69171,30865,9532,107420,28369,6967,1876,893,384,7292,2494,469,469,40155,18845,351.584687,64.04296,32.59,45,54,219.55,355,2
alexander,37240,40.9,1449,72.78,3003,40014,1478,2685,17965,8160,0,33324,2043,964,247,107,80,1122,371,60,52,10728,2691,143.230769,85.989334,46.81,30,69,448.84,105,0
alleghany,11160,45.94,551,100,1301,30845,425,770,4944,3220,0,10288,140,509,101,37,41,388,167,38,20,3678,1293,47.489362,78.06012,44.93,39,60,307.75,37,0
anson,26910,39.59,1042,78.51,1550,34745,923,2380,13038,5568,1967,12707,13090,421,46,35,19,715,261,30,23,6772,2763,50.582707,69.579865,33.43,60,39,305.77,154,1
ashe,27305,45.56,1154,84.86,3392,34538,1068,1777,12588,7647,0,26050,161,963,395,166,164,1222,398,43,41,9379,2469,64.096244,77.16225,43.21,38,61,357.17,96,0
avery,17767,42.41,618,88.78,2653,34918,1323,1745,8619,4358,2385,16364,709,929,200,151,63,943,298,22,47,5235,1959,71.931174,80.89546,45.46,28,72,320.9,68,2
beaufort,47783,43.81,1896,65.6,6295,40653,2245,3413,21244,12623,1461,32551,12223,1990,669,243,67,2226,974,90,36,14728,5331,57.708937,70.95006,37.06,41,59,328.27,237,1
bertie,21237,42.9,1071,83.24,1474,29110,617,1829,10000,5012,0,7488,13296,439,115,16,8,624,219,16,37,6277,1883,30.381974,73.111206,34.54,65,35,279.11,104,0
bladen,35205,41.34,1514,91.23,2284,30471,1901,2792,16331,8008,1468,19806,12268,586,136,46,30,1134,264,78,10,9647,4327,40.234286,83.271545,42.23,51,49,307.7,162,1
brunswick,108071,47.55,4798,42.96,17808,45806,3461,6657,46917,34296,1033,89193,12291,5797,2220,488,209,6263,2376,256,199,35183,10226,126.39883,64.62877,31.88,41,59,177.99,238,1
buncombe,238870,40.69,14227,24.08,51466,44190,14340,20494,115424,54127,11863,208192,15211,14613,5085,2190,1429,18604,7317,1297,931,67126,32183,364.131098,48.513027,38.99,57,43,347,442,5
