kilowatts,group
1.976,original
1.88,original
1.256,original
1.628,original
1.629,original
1.716,original
1.528,original
2.009,original
1.501,original
1.886,original
2.13,original
1.596,original
1.739,original
2.336,original
0.926,original
1.991,original
1.785,original
1.882,original
1.023,original
1.515,original
1.052,original
2.436,original
1.994,original
1.447,original
1.412,original
2.148,original
2.282,original
2.041,original
1.955,original
2.103,original
0.941,modified
1.842,modified
1.595,modified
1.92,modified
2.171,modified
1.329,modified
1.326,modified
1.155,modified
1.739,modified
1.621,modified
1.976,modified
1.367,modified
1.522,modified
1.535,modified
1.467,modified
1.694,modified
1.235,modified
1.078,modified
1.322,modified
1.431,modified
1.231,modified
1.544,modified
1.247,modified
2.098,modified
1.639,modified
1.867,modified
1.461,modified
1.819,modified
1.347,modified
1.555,modified
