quadrat,smallarea,wheat,barley,nonarable,corn,sunflower,vineyard,grass,asparagus,alfalfa,rape,rice,almonds,olives,fruit,observed
59106566,R68,0,0,1933.912315,0,0,0,666.791472,0,0,0,0,690.3102796,6922.571869,4285.158403,4626.538002
59086560,R68,0,0,1392.159416,690.8582918,0,399.0567366,0,382.9745882,105.2031326,0,0,0,2548.067669,8450.084151,7172.923358
59406568,R68,0,0,2026.148505,0,0,54.21482704,0,7.564448267,0,0,0,0,1925.057951,10485.7368,3304.582725
59406562,R68,0,0,1310.519606,0,0,0,0,452.0769368,0,0,0,0,1332.544965,11403.5956,6457.926847
59486566,R68,0,0,1684.034356,203.6149267,0,0,0,1020.623038,0,0,0,0,690.44474,10900.02251,6926.474301
59446566,R68,0,0,3366.675507,0,0,68.70976184,0,221.7447651,946.5758232,0,0,0,1127.430686,8767.596494,5221.703895
60006620,R68,0,0,1596.651409,0,0,0,0,0,0,0,0,1081.931978,4863.764034,6956.400221,722.0279549
59886642,R68,0,0,1037.095763,0,0,0,0,0,0,0,0,2807.483444,1134.319734,9519.749469,3340.46968
59846648,R68,41.79580636,0,5090.172397,1379.628665,0.171506503,0,0,0,0,1499.918423,0,364.6430437,3116.599451,2946.002916,3180.425989
61286548,R63,0,0,0,4042.806593,1058.188844,48.04503736,0,97.2615879,0,0,0,0,6.3590912,0.107313042,0
61266574,R67,0,0,5136.922185,0,0,0,0,0,60.37962815,837.5841329,0,171.3166359,0,4168.595954,3424.474516
61326652,R67,0,0,19.64149235,0,0,0,0,0,816.5402417,0,0,0,0,11887.25062,11773.56217
60306664,R68,2377.701502,0,0,0,0,0,0,0,0,0,0,366.7377695,298.9101066,10882.76942,9066.564689
60326662,R68,439.9890187,0,322.2300729,0,0,0,0,0,0,0,0,0,0,13736.51026,12797.7599
60286672,R68,0,0,74.18976776,0,0,0,0,0,455.9441166,0,0,0,0,13968.60803,13547.69743
61246656,R67,0,0,220.0017855,64.48885769,0,0,0,0,359.6486757,0,0,0,0,11970.01546,11154.9657
61286666,R67,0,0,373.3558873,7123.075054,0,0,14.51005466,0,628.6558905,0,0,757.9956813,0,3486.78539,3307.668904
61246672,R67,0,0,0,0,0,0,0,0,6.217919435,0,0,28.35836319,0,12577.38006,10359.71225
61246676,R67,0,261.2455329,3564.542284,1105.945308,276.2009992,0,0,0,0,0,0,494.2436526,289.5858893,5436.30105,6025.084604
61066668,R67,0,0,13.50085531,3947.329659,5459.392797,0,0,0,0,0,0,0,0,0,0
61326670,R67,0,0,5206.751148,0,0,0,323.3672826,0,0,0,0,6745.270121,448.0919083,0,0
61026728,R63,0,0,0,1021.90682,0,0,0,0,0.182142582,0,0,0,0,4012.778761,5003.357026
61386528,R67,0,0,299.261214,0,0,0,0,0,0,0,0,0,5.849334571,12418.35615,12569.92293
61626518,R67,0,0,91.86609423,0,0,0,0,0,279.624282,0,0,0,0,12262.62788,12260.81617
61606520,R67,0,0,351.9788584,0,0,0,0,0,268.045091,0,0,324.6042093,1375.390695,10335.42748,11955.74241
61666508,R67,0,0,153.7690624,0,0,0,0,0,0,0,0,0,0,9081.193603,11573.19382
61646516,R67,0,0,1858.087097,0,0,0,0,0,256.1699935,0,0,0,0,10609.22922,10048.88458
61546534,R67,0,0,10.2958698,0,0,0,0,0,0,0,0,0,158.2499803,12554.93665,11897.32254
61666526,R67,629.7460421,3964.028307,508.4131215,0,0,0,0,0,0,0,0,4834.590647,50.55034155,2736.16182,2215.41708
61666528,R67,0,0,200.69034,0,0,0,0,0,0,0,0,0,0,12088.05929,12143.84978
61506530,R67,0,0,3255.392123,0,0,1128.246001,0,0,190.4490216,0,0,1876.039041,1146.30798,5127.060154,5043.061894
61746516,R67,0,0,723.2476391,0,0,0,0,0,1.826894903,0,0,1244.729781,738.022429,10015.6476,12254.29391
61426528,R67,0,0,80.16929094,0,0,0,0,0,31.14627412,0,0,0,0,12612.16093,12005.66601
61666562,R67,0,0,623.3165094,5076.778977,0,0,0,630.7327367,0,0,0,0,0,4591.623261,8306.175988
61766590,R67,0,0,1816.132502,6.970863856,40.93160124,0,1699.685097,0,2890.133606,2362.245291,0,9.963218929,0,2512.560258,6338.922358
61566620,R67,0,0,1202.083368,602.3126968,0,0,0,0,1047.476354,0,0,0,0,9258.594383,10693.6645
61546634,R67,0,0,0,5786.929858,0,0,0,0,2739.236537,0,0,0,0,4197.317371,4779.517045
61506628,R67,2.375942456,0,214.1817295,0,180.5943458,0,0,0,0,0,0,0,0,12326.32394,12695.17268
61526636,R67,0,0,0,60.82913177,0,0,0,0,7181.159385,0,0,0,0,5481.493169,6694.833894
62006526,R67,0,0,216.1134006,381.0048946,0,0,0,0,4360.124057,0,0,0,0,7713.790693,7625.9639
61806516,R67,0,0,4571.398713,0,0,1.999927752,0,0,255.105871,0,0,0,105.3977375,7271.432604,11343.8083
61826520,R67,0,0,3294.779193,0,0,0,42.04099964,230.8129062,273.7037489,0,0,345.8266148,0,8536.258512,11552.04703
61886506,R67,0,0,1053.369883,0,0,0,0,0,0,0,0,0,0,11309.13833,11120.37045
61786604,R67,191.3858401,111.8839419,3983.901408,0,0,0,0,0,12.15852006,0,0,0,0,8279.55225,11498.25597
63006502,R63,0,0,0,4278.791154,0,0,0,0,0,0,973.9733529,0,0,0,0
61406658,R67,0,0,2648.374362,0,0,0,0,0,1434.389135,0,0,880.550809,0,7753.506655,2527.704101
61406664,R67,0,0,0,0,0,0,0,0,9759.352563,0,0,0,0,2964.144214,1892.482963
