fluorescence,spermidine,salinity
0.6541250,NO,05PSU
0.5437917,NO,05PSU
0.5454167,NO,05PSU
0.5878333,NO,05PSU
0.7058750,YES,05PSU
0.6670000,YES,05PSU
0.6530000,YES,05PSU
0.6541667,YES,05PSU
0.7412500,NO,11PSU
0.6117500,NO,11PSU
0.7427500,NO,11PSU
0.7340833,NO,11PSU
0.7040000,YES,11PSU
0.7851250,YES,11PSU
0.6692500,YES,11PSU
0.7373333,YES,11PSU
0.7834167,NO,18PSU
0.7585330,NO,18PSU
0.7801667,NO,18PSU
0.7726667,NO,18PSU
0.7796667,YES,18PSU
0.8030833,YES,18PSU
0.8370000,YES,18PSU
0.7910000,YES,18PSU
0.7898333,NO,36PSU
0.7795833,NO,36PSU
0.7889167,NO,36PSU
0.7689167,NO,36PSU
0.8061667,YES,36PSU
0.7846667,YES,36PSU
0.7887500,YES,36PSU
0.8165000,YES,36PSU
