cgt,game,goals
67,1,1
132,2,2
147,3,1
258,4,2
320,5,6
355,6,3
385,7,5
399,8,1
410,9,2
421,10,2
438,11,2
450,12,0
490,13,2
513,14,1
529,15,1
568,16,3
579,17,1
595,18,6
605,19,1
611,20,3
679,21,0
728,22,0
793,23,4
863,24,4
874,25,2
958,26,4
983,27,2
1107,28,5
1159,29,2
1245,30,3
1271,31,1
1426,32,3
1436,33,3
1438,34,1
1470,35,1
1565,36,2
1566,37,0
1576,38,5
1577,39,1
1589,40,3
1605,41,0
1653,42,2
1720,43,2
1790,44,0
1796,45,0
1996,46,1
2002,47,1
2028,48,4
2054,49,2
2092,50,2
2112,51,3
2131,52,1
2151,53,1
2223,54,4
2228,55,2
2270,56,1
2279,57,4
2305,58,1
2313,59,1
2429,60,4
2430,61,2
2435,62,3
2439,63,4
2452,64,2
2476,65,3
2520,66,5
2529,67,3
2598,68,1
2662,69,0
2675,70,3
2695,71,3
2782,72,4
2822,73,1
2865,74,3
2878,75,3
2900,76,4
2908,77,1
2918,78,2
3060,79,4
3124,80,5
3160,81,0
3221,82,2
3342,83,7
3384,84,2
3393,85,3
3405,86,1
3412,87,2
3500,88,2
3561,89,5
3592,90,3
3599,91,4
3755,92,5
3775,93,2
3858,94,1
3863,95,2
4088,96,2
4165,97,3
4255,98,5
4291,99,3
4295,100,2
4313,101,3
4337,102,1
4387,103,4
4470,104,0
4490,105,3
4571,106,4
4581,107,2
4586,108,4
4675,109,1
4741,110,3
4821,111,0
4825,112,0
4855,113,4
4860,114,5
4899,115,4
4904,116,1
4961,117,1
5055,118,2
5074,119,1
5083,120,2
5129,121,2
5141,122,3
5304,123,2
5318,124,3
5341,125,4
5357,126,2
5385,127,1
5426,128,0
5452,129,5
5508,130,4
5540,131,1
5576,132,5
5582,133,4
5624,134,3
5640,135,1
5669,136,3
5684,137,3
5718,138,3
5781,139,3
5803,140,2
5815,141,7
5866,142,3
5885,143,4
5902,144,4
5915,145,2
5922,146,4
5975,147,2
5992,148,1
6030,149,2
6099,150,2
6252,151,3
6275,152,1
6294,153,5
6339,154,1
6366,155,5
6373,156,0
6394,157,3
6427,158,3
6449,159,4
6471,160,1
6545,161,0
6577,162,5
6596,163,3
6615,164,3
6668,165,2
6681,166,3
6688,167,3
6755,168,3
6805,169,1
6815,170,2
6840,171,3
6858,172,8
6974,173,2
7020,174,4
7039,175,1
7086,176,4
7087,177,1
7090,178,3
7122,179,2
7130,180,2
7147,181,4
7162,182,2
7173,183,2
7338,184,5
7347,185,2
7395,186,0
