temperature,gender,class
92.7,Male,8 a.m.
94.1,Male,8 a.m.
96.5,Male,8 a.m.
93.2,Male,8 a.m.
97.1,Male,8 a.m.
93.7,Male,8 a.m.
94.1,Male,9 a.m.
96,Male,9 a.m.
98.2,Male,9 a.m.
96.5,Male,9 a.m.
94.4,Male,9 a.m.
96.9,Female,8 a.m.
94,Female,8 a.m.
93.7,Female,8 a.m.
93.9,Female,8 a.m.
93.5,Female,8 a.m.
97,Female,8 a.m.
97.2,Female,8 a.m.
92,Female,8 a.m.
96.6,Female,8 a.m.
94.9,Female,8 a.m.
92.1,Female,8 a.m.
96.5,Female,9 a.m.
94.3,Female,9 a.m.
93.9,Female,9 a.m.
96.5,Female,9 a.m.
95.6,Female,9 a.m.
98.2,Female,9 a.m.
96.4,Female,9 a.m.
96.3,Female,9 a.m.
95.1,Female,9 a.m.
97.1,Female,9 a.m.
96.6,Female,9 a.m.
96.8,Female,9 a.m.
